kind,reward,north,south,east,west
normal,-1,GridCell[12],GridCell[48],GridCell[1],GridCell[48]
cliff,-100,GridCell[13],GridCell[48],GridCell[2],GridCell[0]
cliff,-100,GridCell[14],GridCell[48],GridCell[3],GridCell[1]
cliff,-100,GridCell[15],GridCell[48],GridCell[4],GridCell[2]
cliff,-100,GridCell[16],GridCell[48],GridCell[5],GridCell[3]
cliff,-100,GridCell[17],GridCell[48],GridCell[6],GridCell[4]
cliff,-100,GridCell[18],GridCell[48],GridCell[7],GridCell[5]
cliff,-100,GridCell[19],GridCell[48],GridCell[8],GridCell[6]
cliff,-100,GridCell[20],GridCell[48],GridCell[9],GridCell[7]
cliff,-100,GridCell[21],GridCell[48],GridCell[10],GridCell[8]
cliff,-100,GridCell[22],GridCell[48],GridCell[11],GridCell[9]
goal,0,GridCell[23],GridCell[48],GridCell[48],GridCell[10]
normal,-1,GridCell[24],GridCell[0],GridCell[13],GridCell[48]
normal,-1,GridCell[25],GridCell[1],GridCell[14],GridCell[12]
normal,-1,GridCell[26],GridCell[2],GridCell[15],GridCell[13]
normal,-1,GridCell[27],GridCell[3],GridCell[16],GridCell[14]
normal,-1,GridCell[28],GridCell[4],GridCell[17],GridCell[15]
normal,-1,GridCell[29],GridCell[5],GridCell[18],GridCell[16]
normal,-1,GridCell[30],GridCell[6],GridCell[19],GridCell[17]
normal,-1,GridCell[31],GridCell[7],GridCell[20],GridCell[18]
normal,-1,GridCell[32],GridCell[8],GridCell[21],GridCell[19]
normal,-1,GridCell[33],GridCell[9],GridCell[22],GridCell[20]
normal,-1,GridCell[34],GridCell[10],GridCell[23],GridCell[21]
normal,-1,GridCell[35],GridCell[11],GridCell[48],GridCell[22]
normal,-1,GridCell[36],GridCell[12],GridCell[25],GridCell[48]
normal,-1,GridCell[37],GridCell[13],GridCell[26],GridCell[24]
normal,-1,GridCell[38],GridCell[14],GridCell[27],GridCell[25]
normal,-1,GridCell[39],GridCell[15],GridCell[28],GridCell[26]
normal,-1,GridCell[40],GridCell[16],GridCell[29],GridCell[27]
normal,-1,GridCell[41],GridCell[17],GridCell[30],GridCell[28]
normal,-1,GridCell[42],GridCell[18],GridCell[31],GridCell[29]
normal,-1,GridCell[43],GridCell[19],GridCell[32],GridCell[30]
normal,-1,GridCell[44],GridCell[20],GridCell[33],GridCell[31]
normal,-1,GridCell[45],GridCell[21],GridCell[34],GridCell[32]
normal,-1,GridCell[46],GridCell[22],GridCell[35],GridCell[33]
normal,-1,GridCell[47],GridCell[23],GridCell[48],GridCell[34]
normal,-1,GridCell[48],GridCell[24],GridCell[37],GridCell[48]
normal,-1,GridCell[48],GridCell[25],GridCell[38],GridCell[36]
normal,-1,GridCell[48],GridCell[26],GridCell[39],GridCell[37]
normal,-1,GridCell[48],GridCell[27],GridCell[40],GridCell[38]
normal,-1,GridCell[48],GridCell[28],GridCell[41],GridCell[39]
normal,-1,GridCell[48],GridCell[29],GridCell[42],GridCell[40]
normal,-1,GridCell[48],GridCell[30],GridCell[43],GridCell[41]
normal,-1,GridCell[48],GridCell[31],GridCell[44],GridCell[42]
normal,-1,GridCell[48],GridCell[32],GridCell[45],GridCell[43]
normal,-1,GridCell[48],GridCell[33],GridCell[46],GridCell[44]
normal,-1,GridCell[48],GridCell[34],GridCell[47],GridCell[45]
normal,-1,GridCell[48],GridCell[35],GridCell[48],GridCell[46]
blocked,0,GridCell[48],GridCell[48],GridCell[48],GridCell[48]
